,Idade,Demissão,Viagem de negócios,Diárias recebidas,Departamento,Distância de Casa,Escolaridade,Área de Formação,Número de contratos de trabalho na empresa,ID Funcionário,Nível de Satisfação com o ambiente de trabalho,Gênero,Salário por hora,Nível de envolvimento com o trabalho,Nível hierárquico,Cargo,Satisfação com o trabalho,Estado civil,Renda mensal,Salário Mensal,qtde de empresas que já trabalhou,Maior de idade,Faz hora extra,percentual de aumento de salário,score de performance,Satisfação nas relações Não trabalho,Jornada padrão de trabalho,opção de remaunração variável em ações,Total de anos trabalhados,Qtde de treinamentos realizados no último ano,Equilíbrio vida trabalho,Total de anos trabalhados na empresa,Anos trabalhados na função atual,Anos desde a última promoção,Anos trabalhando com o atual gestor
10,34,Não,Viaja raramente,1346,Pesquisa e Desenvolvimento,19,2,Ciências Médicas,1,18,2,Masculino,93,3,1,Técnico de Laboratório,4,Divorciado,2661,8758,0,Sim,Não,11,3,3,80,1,3,2,3,2,2,1,2
11,32,Não,Viaja raramente,334,Pesquisa e Desenvolvimento,5,2,Ciências Humanas,1,21,1,Masculino,80,4,1,Pesquisador cientista,2,Divorciado,3298,15053,0,Sim,Sim,12,3,4,80,2,7,5,2,6,2,0,5
12,53,Não,Viaja raramente,1219,Vendas,2,4,Ciências Humanas,1,23,1,Feminino,78,2,4,Gerente,4,Casado,15427,22021,2,Sim,Não,16,3,3,80,0,31,3,3,25,8,3,7
13,38,Não,Viaja raramente,371,Pesquisa e Desenvolvimento,2,3,Ciências Humanas,1,24,4,Masculino,45,3,1,Pesquisador cientista,4,Solteiro,3944,4306,5,Sim,Sim,11,3,3,80,0,6,3,3,3,2,1,2
14,36,Sim,Viaja raramente,1218,Vendas,9,4,Ciências Humanas,1,27,3,Masculino,82,2,1,Representante de vendas,1,Solteiro,3407,6986,7,Sim,Não,23,4,2,80,0,10,4,3,5,3,0,3
15,34,Não,Viaja raramente,419,Pesquisa e Desenvolvimento,7,4,Ciências Humanas,1,28,1,Feminino,53,3,3,Diretor de pesquisa,2,Solteiro,11994,21293,0,Sim,Não,11,3,3,80,0,13,4,3,12,6,2,11
16,34,Sim,Viaja raramente,699,Pesquisa e Desenvolvimento,6,1,Ciências Médicas,1,31,2,Masculino,83,3,1,Pesquisador cientista,1,Solteiro,2960,17102,2,Sim,Não,11,3,3,80,0,8,2,3,4,2,1,3
17,53,Não,Viaja raramente,1282,Pesquisa e Desenvolvimento,5,3,Outras,1,32,3,Feminino,58,3,5,Gerente,3,Divorciado,19094,10735,4,Sim,Não,11,3,4,80,1,26,3,2,14,13,4,8
18,32,Sim,Viaja frequentemente,1125,Pesquisa e Desenvolvimento,16,1,Ciências Humanas,1,33,2,Feminino,72,1,1,Pesquisador cientista,1,Solteiro,3919,4681,1,Sim,Sim,22,4,2,80,0,10,5,3,10,2,6,7
19,42,Não,Viaja raramente,691,Vendas,8,4,Marketing,1,35,3,Masculino,48,3,2,Executivo de vendas,2,Casado,6825,21173,0,Sim,Não,11,3,4,80,1,10,2,3,9,7,4,2
20,44,Não,Viaja raramente,477,Pesquisa e Desenvolvimento,7,4,Ciências Médicas,1,36,1,Feminino,42,2,3,Reprentante de saúde,4,Casado,10248,2094,3,Sim,Não,14,3,4,80,1,24,4,3,22,6,5,17
21,46,Não,Viaja raramente,705,Vendas,2,4,Marketing,1,38,2,Feminino,83,3,5,Gerente,1,Solteiro,18947,22822,3,Sim,Não,12,3,4,80,0,22,2,2,2,2,2,1
22,33,Não,Viaja raramente,924,Pesquisa e Desenvolvimento,2,3,Ciências Médicas,1,39,3,Masculino,78,3,1,Técnico de Laboratório,4,Solteiro,2496,6670,4,Sim,Não,11,3,4,80,0,7,3,3,1,1,0,0
23,44,Não,Viaja raramente,1459,Pesquisa e Desenvolvimento,10,4,Outras,1,40,4,Masculino,41,3,2,Reprentante de saúde,4,Casado,6465,19121,2,Sim,Sim,13,3,4,80,0,9,5,4,4,2,1,3
24,39,Sim,Viaja raramente,895,Vendas,5,3,EnsiNão técnico,1,42,4,Masculino,56,3,2,Representante de vendas,4,Casado,2086,3335,3,Sim,Não,14,3,3,80,1,19,6,4,1,0,0,0
25,43,Não,Viaja raramente,1273,Pesquisa e Desenvolvimento,2,2,Ciências Médicas,1,46,4,Feminino,72,4,1,Pesquisador cientista,3,Divorciado,2645,21923,1,Sim,Não,12,3,4,80,2,6,3,2,5,3,1,4
26,50,Sim,Viaja raramente,869,Vendas,3,2,Marketing,1,47,1,Masculino,86,2,1,Representante de vendas,3,Casado,2683,3810,1,Sim,Sim,14,3,3,80,0,3,2,3,3,2,0,2
27,35,Não,Viaja raramente,890,Vendas,2,3,Marketing,1,49,4,Feminino,97,3,1,Representante de vendas,4,Casado,2014,9687,1,Sim,Não,13,3,1,80,0,2,3,3,2,2,2,2
28,36,Não,Viaja raramente,852,Pesquisa e Desenvolvimento,5,4,Ciências Humanas,1,51,2,Feminino,82,2,1,Pesquisador cientista,1,Casado,3419,13072,9,Sim,Sim,14,3,4,80,1,6,3,4,1,1,0,0
29,33,Não,Viaja frequentemente,1141,Vendas,1,3,Ciências Humanas,1,52,3,Feminino,42,4,2,Executivo de vendas,1,Casado,5376,3193,2,Sim,Não,19,3,1,80,2,10,3,3,5,3,1,3
30,35,Não,Viaja raramente,464,Pesquisa e Desenvolvimento,4,2,Outras,1,53,3,Masculino,75,3,1,Técnico de Laboratório,4,Divorciado,1951,10910,1,Sim,Não,12,3,3,80,1,1,3,3,1,0,0,0
31,41,Sim,Viaja raramente,1360,Pesquisa e Desenvolvimento,12,3,EnsiNão técnico,1,58,2,Feminino,49,3,5,Diretor de pesquisa,3,Casado,19545,16280,1,Sim,Não,12,3,4,80,0,23,0,3,22,15,15,8
32,34,Não,Não Viaja,1065,Vendas,23,4,Marketing,1,60,2,Masculino,72,3,2,Executivo de vendas,3,Solteiro,4568,10034,0,Sim,Não,20,4,3,80,0,10,2,3,9,5,8,7
33,37,Não,Viaja raramente,408,Pesquisa e Desenvolvimento,19,2,Ciências Humanas,1,61,2,Masculino,73,3,1,Pesquisador cientista,2,Casado,3022,10227,4,Sim,Não,21,4,1,80,0,8,1,3,1,0,0,0
34,46,Não,Viaja frequentemente,1211,Vendas,5,4,Marketing,1,62,1,Masculino,98,3,2,Executivo de vendas,4,Solteiro,5772,20445,4,Sim,Sim,21,4,3,80,0,14,4,3,9,6,0,8
35,35,Não,Viaja raramente,1229,Pesquisa e Desenvolvimento,8,1,Ciências Humanas,1,63,4,Masculino,36,4,1,Técnico de Laboratório,4,Casado,2269,4892,1,Sim,Não,19,3,4,80,0,1,2,3,1,0,0,1
36,48,Sim,Viaja raramente,626,Pesquisa e Desenvolvimento,1,2,Ciências Humanas,1,64,1,Masculino,98,2,3,Técnico de Laboratório,3,Solteiro,5381,19294,9,Sim,Sim,13,3,4,80,0,23,2,3,1,0,0,0
37,44,Não,Viaja raramente,1488,Vendas,1,5,Marketing,1,68,2,Feminino,75,3,2,Executivo de vendas,1,Divorciado,5454,4009,5,Sim,Sim,21,4,3,80,1,9,2,2,4,3,1,3
38,35,Não,Não Viaja,1097,Pesquisa e Desenvolvimento,11,2,Ciências Médicas,1,70,3,Masculino,79,2,3,Reprentante de saúde,1,Casado,9884,8302,2,Sim,Sim,13,3,3,80,1,10,3,3,4,0,2,3
39,33,Não,Viaja frequentemente,515,Pesquisa e Desenvolvimento,1,2,Ciências Humanas,1,73,1,Feminino,98,3,3,Diretor de pesquisa,4,Solteiro,13458,15146,1,Sim,Sim,12,3,3,80,0,15,1,3,15,14,8,12
40,35,Não,Viaja frequentemente,853,Vendas,18,5,Ciências Humanas,1,74,2,Masculino,71,3,3,Executivo de vendas,1,Casado,9069,11031,1,Sim,Não,22,4,4,80,1,9,3,2,9,8,1,8
41,35,Não,Viaja raramente,1142,Pesquisa e Desenvolvimento,23,4,Ciências Médicas,1,75,3,Feminino,30,3,1,Técnico de Laboratório,1,Casado,4014,16002,3,Sim,Sim,15,3,3,80,1,4,3,3,2,2,2,2
42,31,Não,Viaja raramente,655,Pesquisa e Desenvolvimento,7,4,Ciências Humanas,1,76,4,Masculino,48,3,2,Técnico de Laboratório,4,Divorciado,5915,9528,3,Sim,Não,22,4,4,80,1,10,3,2,7,7,1,7
43,37,Não,Viaja raramente,1115,Pesquisa e Desenvolvimento,1,4,Ciências Humanas,1,77,1,Masculino,51,2,2,Diretor de manufatura,3,Divorciado,5993,2689,1,Sim,Não,18,3,3,80,1,7,2,4,7,5,0,7
44,32,Não,Viaja raramente,427,Pesquisa e Desenvolvimento,1,3,Ciências Médicas,1,78,1,Masculino,33,3,2,Diretor de manufatura,4,Casado,6162,10877,1,Sim,Sim,22,4,2,80,1,9,3,3,9,8,7,8
45,38,Não,Viaja frequentemente,653,Pesquisa e Desenvolvimento,29,5,Ciências Humanas,1,79,4,Feminino,50,3,2,Técnico de Laboratório,4,Solteiro,2406,5456,1,Sim,Não,11,3,4,80,0,10,2,3,10,3,9,9
46,50,Não,Viaja raramente,989,Pesquisa e Desenvolvimento,7,2,Ciências Médicas,1,80,2,Feminino,43,2,5,Diretor de pesquisa,3,Divorciado,18740,16701,5,Sim,Sim,12,3,4,80,1,29,2,2,27,3,13,8
47,59,Não,Viaja raramente,1435,Vendas,25,3,Ciências Humanas,1,81,1,Feminino,99,3,3,Executivo de vendas,1,Solteiro,7637,2354,7,Sim,Não,11,3,4,80,0,28,3,2,21,16,7,9
48,36,Não,Viaja raramente,1223,Pesquisa e Desenvolvimento,8,3,EnsiNão técnico,1,83,3,Feminino,59,3,3,Reprentante de saúde,3,Divorciado,10096,8202,1,Sim,Não,13,3,2,80,3,17,2,3,17,14,12,8
49,55,Não,Viaja raramente,836,Pesquisa e Desenvolvimento,8,3,Ciências Médicas,1,84,4,Feminino,33,3,4,Gerente,3,Divorciado,14756,19730,2,Sim,Sim,14,3,3,80,3,21,2,3,5,0,0,2
50,36,Não,Viaja frequentemente,1195,Pesquisa e Desenvolvimento,11,3,Ciências Humanas,1,85,2,Masculino,95,2,2,Diretor de manufatura,2,Solteiro,6499,22656,1,Sim,Não,13,3,3,80,0,6,3,3,6,5,0,3
51,45,Não,Viaja raramente,1339,Pesquisa e Desenvolvimento,7,3,Ciências Humanas,1,86,2,Masculino,59,3,3,Pesquisador cientista,1,Divorciado,9724,18787,2,Sim,Não,17,3,3,80,1,25,2,3,1,0,0,0
52,35,Não,Viaja frequentemente,664,Pesquisa e Desenvolvimento,1,3,Ciências Médicas,1,88,2,Masculino,79,3,1,Pesquisador cientista,1,Casado,2194,5868,4,Sim,Não,13,3,4,80,1,5,2,2,3,2,1,2
53,36,Sim,Viaja raramente,318,Pesquisa e Desenvolvimento,9,3,Ciências Médicas,1,90,4,Masculino,79,2,1,Pesquisador cientista,3,Casado,3388,21777,0,Sim,Sim,17,3,1,80,1,2,0,2,1,0,0,0
54,59,Não,Viaja frequentemente,1225,Vendas,1,1,Ciências Humanas,1,91,1,Feminino,57,2,2,Executivo de vendas,3,Solteiro,5473,24668,7,Sim,Não,11,3,4,80,0,20,2,2,4,3,1,3
55,31,Não,Viaja raramente,1082,Pesquisa e Desenvolvimento,1,4,Ciências Médicas,1,95,3,Masculino,87,3,1,Pesquisador cientista,2,Solteiro,2501,18775,1,Sim,Não,17,3,2,80,0,1,4,3,1,1,1,0
56,32,Não,Viaja raramente,548,Pesquisa e Desenvolvimento,1,3,Ciências Humanas,1,96,2,Masculino,66,3,2,Pesquisador cientista,2,Casado,6220,7346,1,Sim,Não,17,3,2,80,2,10,3,3,10,4,0,9
57,36,Não,Viaja raramente,132,Pesquisa e Desenvolvimento,6,3,Ciências Humanas,1,97,2,Feminino,55,4,1,Técnico de Laboratório,4,Casado,3038,22002,3,Sim,Não,12,3,2,80,0,5,3,3,1,0,0,0
58,31,Não,Viaja raramente,746,Pesquisa e Desenvolvimento,8,4,Ciências Humanas,1,98,3,Feminino,61,3,2,Diretor de manufatura,4,Solteiro,4424,20682,1,Sim,Não,23,4,4,80,0,11,2,3,11,7,1,8
59,35,Não,Viaja raramente,776,Vendas,1,4,Marketing,1,100,3,Masculino,32,2,2,Executivo de vendas,1,Solteiro,4312,23016,0,Sim,Não,14,3,2,80,0,16,2,3,15,13,2,8
60,45,Não,Viaja raramente,193,Pesquisa e Desenvolvimento,6,4,Outras,1,101,4,Masculino,52,3,3,Diretor de pesquisa,1,Casado,13245,15067,4,Sim,Sim,14,3,2,80,0,17,3,4,0,0,0,0
61,37,Não,Viaja raramente,397,Pesquisa e Desenvolvimento,7,4,Ciências Médicas,1,102,1,Masculino,30,3,3,Diretor de pesquisa,3,Solteiro,13664,25258,4,Sim,Não,13,3,1,80,0,16,3,4,5,2,0,2
62,46,Não,Viaja raramente,945,Recursos HumaNãos,5,2,Ciências Médicas,1,103,2,Masculino,80,3,2,Recursos HumaNãos,2,Divorciado,5021,10425,8,Sim,Sim,22,4,4,80,1,16,2,3,4,2,0,2
63,35,Não,Viaja raramente,1214,Pesquisa e Desenvolvimento,1,3,Ciências Médicas,1,105,2,Masculino,30,2,1,Pesquisador cientista,3,Solteiro,2859,26278,1,Sim,Não,18,3,1,80,0,6,3,3,6,4,0,4
64,55,Não,Viaja raramente,111,Vendas,1,2,Ciências Humanas,1,106,1,Masculino,70,3,3,Executivo de vendas,4,Casado,10239,18092,3,Sim,Não,14,3,4,80,1,24,4,3,1,0,1,0
65,38,Não,Não Viaja,573,Pesquisa e Desenvolvimento,6,3,Ciências Médicas,1,107,2,Feminino,79,1,2,Pesquisador cientista,4,Divorciado,5329,15717,7,Sim,Sim,12,3,4,80,3,17,3,3,13,11,1,9
66,34,Não,Viaja raramente,1153,Pesquisa e Desenvolvimento,1,2,Ciências Médicas,1,110,1,Masculino,94,3,2,Diretor de manufatura,2,Casado,4325,17736,1,Sim,Não,15,3,3,80,0,5,2,3,5,2,1,3
67,56,Não,Viaja raramente,1400,Pesquisa e Desenvolvimento,7,3,Ciências Humanas,1,112,4,Masculino,49,1,3,Diretor de manufatura,4,Solteiro,7260,21698,4,Sim,Não,11,3,1,80,0,37,3,2,6,4,0,2
68,51,Não,Viaja raramente,432,Pesquisa e Desenvolvimento,9,4,Ciências Humanas,1,116,4,Masculino,96,3,1,Técnico de Laboratório,4,Casado,2075,18725,3,Sim,Não,23,4,2,80,2,10,4,3,4,2,0,3
69,46,Sim,Viaja raramente,669,Vendas,9,2,Ciências Médicas,1,118,3,Masculino,64,2,3,Executivo de vendas,4,Solteiro,9619,13596,1,Sim,Não,16,3,4,80,0,9,3,3,9,8,4,7
70,40,Não,Viaja frequentemente,530,Pesquisa e Desenvolvimento,1,4,Ciências Humanas,1,119,3,Masculino,78,2,4,Reprentante de saúde,2,Casado,13503,14115,1,Sim,Não,22,4,4,80,1,22,3,2,22,3,11,11
71,51,Não,Viaja raramente,632,Vendas,21,4,Marketing,1,120,3,Masculino,71,3,2,Executivo de vendas,4,Solteiro,5441,8423,0,Sim,Sim,22,4,4,80,0,11,2,1,10,7,1,0
72,46,Não,Viaja frequentemente,638,Pesquisa e Desenvolvimento,1,3,Ciências Médicas,1,124,3,Masculino,40,2,3,Reprentante de saúde,1,Casado,10673,3142,2,Sim,Sim,13,3,3,80,1,21,5,2,10,9,9,5
73,32,Não,Viaja raramente,1093,Vendas,6,4,Ciências Médicas,1,125,2,Masculino,87,3,2,Executivo de vendas,3,Solteiro,5010,24301,1,Sim,Não,16,3,1,80,0,12,0,3,11,8,5,7
74,54,Não,Viaja raramente,1217,Pesquisa e Desenvolvimento,2,4,EnsiNão técnico,1,126,1,Feminino,60,3,3,Diretor de pesquisa,3,Casado,13549,24001,9,Sim,Não,12,3,1,80,1,16,5,1,4,3,0,3
75,58,Não,Viaja raramente,682,Vendas,10,4,Ciências Médicas,1,131,4,Masculino,37,3,4,Executivo de vendas,3,Solteiro,13872,24409,0,Sim,Não,13,3,3,80,0,38,1,2,37,10,1,8
76,44,Não,Não Viaja,489,Pesquisa e Desenvolvimento,23,3,Ciências Médicas,1,132,2,Masculino,67,3,2,Técnico de Laboratório,2,Casado,2042,25043,4,Sim,Não,12,3,3,80,1,17,3,4,3,2,1,2
77,37,Sim,Viaja raramente,807,Recursos HumaNãos,6,4,Recursos HumaNãos,1,133,3,Masculino,63,3,1,Recursos HumaNãos,1,Divorciado,2073,23648,4,Sim,Sim,22,4,4,80,0,7,3,3,3,2,0,2
78,32,Não,Viaja raramente,827,Pesquisa e Desenvolvimento,1,1,Ciências Humanas,1,134,4,Masculino,71,3,1,Pesquisador cientista,1,Solteiro,2956,15178,1,Sim,Não,13,3,4,80,0,1,2,3,1,0,0,0
79,34,Não,Viaja raramente,665,Pesquisa e Desenvolvimento,6,4,Outras,1,138,1,Feminino,41,3,2,Pesquisador cientista,3,Solteiro,4809,12482,1,Sim,Não,14,3,3,80,0,16,3,3,16,13,2,10
80,37,Não,Não Viaja,1040,Pesquisa e Desenvolvimento,2,2,Ciências Humanas,1,139,3,Masculino,100,2,2,Reprentante de saúde,4,Divorciado,5163,15850,5,Sim,Não,14,3,4,80,1,17,2,4,1,0,0,0
81,59,Não,Não Viaja,1420,Recursos HumaNãos,2,4,Recursos HumaNãos,1,140,3,Feminino,32,2,5,Gerente,4,Casado,18844,21922,9,Sim,Não,21,4,4,80,1,30,3,3,3,2,2,2
82,50,Não,Viaja frequentemente,1115,Pesquisa e Desenvolvimento,1,3,Ciências Humanas,1,141,1,Feminino,73,3,5,Diretor de pesquisa,2,Casado,18172,9755,3,Sim,Sim,19,3,1,80,0,28,1,2,8,3,0,7
83,51,Não,Viaja frequentemente,1456,Pesquisa e Desenvolvimento,1,4,Ciências Médicas,1,145,1,Feminino,30,2,3,Reprentante de saúde,1,Solteiro,7484,25796,3,Sim,Não,20,4,3,80,0,23,1,2,13,12,12,8
84,34,Sim,Viaja frequentemente,658,Pesquisa e Desenvolvimento,7,3,Ciências Humanas,1,147,1,Masculino,66,1,2,Técnico de Laboratório,3,Solteiro,6074,22887,1,Sim,Sim,24,4,4,80,0,9,3,3,9,7,0,6
85,54,Não,Não Viaja,142,Recursos HumaNãos,26,3,Recursos HumaNãos,1,148,4,Feminino,30,4,4,Gerente,4,Solteiro,17328,13871,2,Sim,Sim,12,3,3,80,0,23,3,3,5,3,4,4
86,34,Não,Viaja raramente,1031,Pesquisa e Desenvolvimento,6,4,Ciências Humanas,1,151,3,Feminino,45,2,2,Pesquisador cientista,2,Divorciado,4505,15000,6,Sim,Não,15,3,3,80,1,12,3,3,1,0,0,0
87,37,Não,Viaja raramente,1189,Vendas,3,3,Ciências Humanas,1,152,3,Masculino,87,3,3,Executivo de vendas,4,Solteiro,7428,14506,2,Sim,Não,12,3,1,80,0,12,3,3,5,3,1,3
88,34,Não,Viaja raramente,1354,Pesquisa e Desenvolvimento,5,3,Ciências Médicas,1,153,3,Feminino,45,2,3,Gerente,1,Solteiro,11631,5615,2,Sim,Não,12,3,4,80,0,14,6,3,11,10,5,8
89,36,Não,Viaja frequentemente,1467,Vendas,11,2,EnsiNão técnico,1,154,2,Feminino,92,3,3,Executivo de vendas,4,Casado,9738,22952,0,Sim,Não,14,3,3,80,1,10,6,3,9,7,2,8
90,36,Não,Viaja raramente,922,Pesquisa e Desenvolvimento,3,2,Ciências Humanas,1,155,1,Feminino,39,3,1,Técnico de Laboratório,4,Divorciado,2835,2561,5,Sim,Não,22,4,1,80,1,7,2,3,1,0,0,0
91,43,Não,Viaja frequentemente,394,Vendas,26,2,Ciências Humanas,1,158,3,Masculino,92,3,4,Gerente,4,Casado,16959,19494,1,Sim,Sim,12,3,4,80,2,25,3,4,25,12,4,12
92,33,Não,Não Viaja,750,Vendas,22,2,Marketing,1,160,3,Masculino,95,3,2,Executivo de vendas,2,Casado,6146,15480,0,Sim,Não,13,3,1,80,1,8,2,4,7,7,0,7
93,56,Sim,Viaja raramente,441,Pesquisa e Desenvolvimento,14,4,Ciências Humanas,1,161,2,Feminino,72,3,1,Pesquisador cientista,2,Casado,4963,4510,9,Sim,Sim,18,3,1,80,3,7,2,3,5,4,4,3
94,51,Não,Viaja raramente,684,Pesquisa e Desenvolvimento,6,3,Ciências Humanas,1,162,1,Masculino,51,3,5,Diretor de pesquisa,3,Solteiro,19537,6462,7,Sim,Não,13,3,3,80,0,23,5,3,20,18,15,15
95,31,Sim,Viaja raramente,249,Vendas,6,4,Ciências Humanas,1,163,2,Masculino,76,1,2,Executivo de vendas,3,Casado,6172,20739,4,Sim,Sim,18,3,2,80,0,12,3,2,7,7,7,7
96,58,Sim,Viaja raramente,147,Pesquisa e Desenvolvimento,23,4,Ciências Médicas,1,165,4,Feminino,94,3,3,Reprentante de saúde,4,Casado,10312,3465,1,Sim,Não,12,3,4,80,1,40,3,2,40,10,15,6
97,49,Não,Viaja raramente,470,Pesquisa e Desenvolvimento,20,4,Ciências Médicas,1,170,3,Feminino,96,3,2,Diretor de manufatura,1,Casado,6567,5549,1,Sim,Não,14,3,3,80,0,16,2,2,15,11,5,11
98,43,Não,Viaja frequentemente,957,Pesquisa e Desenvolvimento,28,3,Ciências Médicas,1,171,2,Feminino,72,4,1,Pesquisador cientista,3,Solteiro,4739,16090,4,Sim,Não,12,3,4,80,0,18,2,3,3,2,1,2
99,50,Não,Viaja frequentemente,809,Vendas,12,3,Marketing,1,174,3,Feminino,77,3,3,Executivo de vendas,4,Solteiro,9208,6645,4,Sim,Não,11,3,4,80,0,16,3,3,2,2,2,1
100,31,Sim,Viaja raramente,542,Vendas,20,3,Ciências Humanas,1,175,2,Feminino,71,1,2,Executivo de vendas,3,Casado,4559,24788,3,Sim,Sim,11,3,3,80,1,4,2,3,2,2,2,2
101,41,Não,Viaja raramente,802,Vendas,9,1,Ciências Humanas,1,176,3,Masculino,96,3,3,Executivo de vendas,3,Divorciado,8189,21196,3,Sim,Sim,13,3,3,80,1,12,2,3,9,7,0,7
102,36,Não,Viaja raramente,216,Pesquisa e Desenvolvimento,6,2,Ciências Médicas,1,178,2,Masculino,84,3,2,Diretor de manufatura,2,Divorciado,4941,2819,6,Sim,Não,20,4,4,80,2,7,0,3,3,2,0,1
103,51,Sim,Viaja frequentemente,1150,Pesquisa e Desenvolvimento,8,4,Ciências Humanas,1,179,1,Masculino,53,1,3,Diretor de manufatura,4,Solteiro,10650,25150,2,Sim,Não,15,3,4,80,0,18,2,3,4,2,0,3
104,39,Não,Viaja raramente,1329,Vendas,4,4,Ciências Humanas,1,182,4,Feminino,47,2,2,Executivo de vendas,3,Casado,5902,14590,4,Sim,Não,14,3,3,80,1,17,1,4,15,11,5,9
105,32,Sim,Viaja raramente,1033,Pesquisa e Desenvolvimento,9,3,Ciências Médicas,1,190,1,Feminino,41,3,1,Técnico de Laboratório,1,Solteiro,4200,10224,7,Sim,Não,22,4,1,80,0,10,2,4,5,4,0,4
106,45,Não,Viaja raramente,1316,Pesquisa e Desenvolvimento,29,3,Ciências Médicas,1,192,3,Masculino,83,3,1,Pesquisador cientista,4,Solteiro,3452,9752,5,Sim,Não,13,3,2,80,0,9,2,2,6,5,0,3
107,38,Não,Viaja raramente,364,Pesquisa e Desenvolvimento,3,5,EnsiNão técnico,1,193,4,Feminino,32,3,2,Pesquisador cientista,3,Solteiro,4317,2302,3,Sim,Sim,20,4,2,80,0,19,2,3,3,2,2,2
108,32,Não,Viaja frequentemente,689,Vendas,9,2,Ciências Médicas,1,195,4,Masculino,35,1,2,Executivo de vendas,4,Divorciado,4668,22812,0,Sim,Não,17,3,4,80,3,9,2,4,8,7,0,7
109,41,Não,Viaja frequentemente,857,Pesquisa e Desenvolvimento,10,3,Ciências Humanas,1,199,4,Masculino,91,2,4,Gerente,1,Divorciado,17181,12888,4,Sim,Não,13,3,2,80,1,21,2,2,7,6,7,7
110,41,Não,Viaja raramente,933,Pesquisa e Desenvolvimento,9,4,Ciências Humanas,1,200,3,Masculino,94,3,1,Técnico de Laboratório,1,Casado,2238,6961,2,Sim,Não,21,4,4,80,1,7,2,3,5,0,1,4
111,40,Não,Viaja frequentemente,1395,Pesquisa e Desenvolvimento,26,3,Ciências Médicas,1,202,2,Feminino,54,3,2,Pesquisador cientista,2,Divorciado,5605,8504,1,Sim,Não,11,3,1,80,1,20,2,3,20,7,2,13
112,35,Não,Viaja raramente,662,Vendas,1,5,Marketing,1,204,3,Masculino,94,3,3,Executivo de vendas,2,Casado,7295,11439,1,Sim,Não,13,3,1,80,2,10,3,3,10,8,0,6
113,53,Não,Viaja raramente,1436,Vendas,6,2,Marketing,1,205,2,Masculino,34,3,2,Representante de vendas,3,Casado,2306,16047,2,Sim,Sim,20,4,4,80,1,13,3,1,7,7,4,5
